"date_r","volume","high","low","war","window_borrowing"
"2011-02-28","9","19.5","16","18.363","0"
"2011-07-29","7","19","15","17.676","0"
"2011-07-31","12","17.5","12","16.224","0"
"2012-02-28","9","19.5","16","18.363","0"
"2012-02-29","7","19","15","17.676","0"
"2012-04-28","9","19.5","16","18.363","0"
"2012-04-29","7","19","15","17.676","0"
"2012-04-30","9","18","10","16.869","260"
"2012-05-25","9","18","10","16.869","260"
"2012-05-28","9","19.5","16","18.363","0"
"2012-05-29","7","19","15","17.676","0"
"2012-05-30","9","18","10","16.869","260"
"2012-05-31","12","17.5","12","16.224","0"
"2012-06-02","12","17.5","12","16.224","0"
"2012-06-04","9","18","10","16.869","260"
"2012-06-06","12","17.5","12","16.224","0"
"2012-08-27","10136","9.2","7","8.699","0"
"2012-08-28","11329","9.1","7","8.32","0"
"2012-08-29","10832","9","6","8.102","0"
"2012-08-30","9169","10","6","7.408","0"
"2012-08-31","9924","9","5","7.204","0"
"2012-09-03","8612","8.5","6","7.255","0"
"2012-09-04","7548","10","6.25","7.389","0"
"2012-09-05","5508","8","5.5","7.166","0"
"2012-09-06","7792","7.8","5.5","6.956","0"
"2012-09-07","7736","9","5","6.727","0"
"2012-09-10","10041","7.2","5.5","6.401","0"
"2012-09-11","10180","7","5.5","6.448","0"
"2012-09-12","12173","7","5","6.452","180"
"2012-09-13","10583","7.5","5.55","6.539","0"
"2012-09-14","9935","7.5","5","6.523","0"
"2012-09-17","10299","7.5","5","6.501","0"
"2012-09-18","8781","6.85","5.5","6.569","0"
"2012-09-19","12740","7.5","6","6.71","0"
"2012-09-20","12012","7.3","6","6.814","0"
"2012-09-21","13358","7.5","6","6.97","0"
"2012-09-24","11864","8.75","6","7.0595","0"
"2012-09-25","8033","8.75","7","7.3253","603"
"2012-09-26","11622","9","7","7.783","0"
"2012-09-27","11319.8","0","0","8.3121","0"
"2012-09-28","9611","7","9.3","8.4669","0"
"2012-10-01","5330","9.2","8.4","8.7278","0"
"2012-10-02","5748","9.2","8","8.9085","0"
"2012-10-03","7155","9.3","8.5","8.9441","0"
"2012-10-04","5863","0","0","9.0532","0"
"2012-10-05","8186","9.8","8.5","8.9161","0"
"2012-10-07","12668","9.2","7","8.6846","0"
"2012-10-08","8350","9.6","7.5","8.8302","0"
"2012-10-09","7065","9.5","7.5","8.7996","0"
"2012-10-10","8100","9.5","7","8.7565","0"
"2012-10-11","8965","0","0","8.9607","0"
"2012-10-12","10570","9.8","8","9.1366","0"
"2012-10-15","12517.5","10","9","9.2715","0"
"2012-10-16","9967.5","10.5","9","9.4483","0"
"2012-10-17","8184.5","10.5","8.25","9.6161","0"
"2012-10-18","6657.5","0","0","9.7374","0"
"2012-10-19","14870","0","0","9.4716","480"
"2012-10-22","13989.5","10.5","8.5","9.2235","0"
"2012-10-23","10077.5","9.8","9","9.3023","0"
"2012-10-24","13070","9.75","9","9.3074","0"
"2012-10-25","8707.5","0","0","9.3697","0"
"2012-10-26","3883.5","9.5","7.25","9.32","0"
"2012-10-29","8527.8","9.5","7.5","9.2106","0"
"2012-10-30","8105","9.4","7.5","9.0946","0"
"2012-10-31","9360","9.2","8","8.7938","0"
"2012-11-01","9975","0","0","8.7711","0"
"2012-11-02","10160","9","8","8.6578","0"
"2012-11-05","6315","9","8.35","8.6893","0"
"2012-11-06","8262","9.2","7","8.6874","0"
"2012-11-07","12668","9.2","7","8.6846","0"
"2012-11-08","9988.75","0","0","8.6394","0"
"2012-11-09","8588","9.5","6.75","8.0766","0"
